Région,Type de sol,pH du sol,Pluviométrie (mm/an),Température (°C),Irrigation,Budget disponible (MAD/ha),Prix (MAD/kg),Rendement (kg/ha),Période de plantation,Durée de culture (mois),Sensibilité au climat,Bénéfice estimé (MAD/ha),Culture recommandée
Ouarzazate,Limoneux,6.3,420.2,24.4,Oui,11007.66,9.33,22457.42,Mars - Avril,3.4,Faible,146669.41,Tomate
Rabat,Argileux,6.2,494.1,26.5,Non,22217.81,11.15,16669.59,Septembre - Octobre,3.5,Moyenne,130106.15,Tomate
Ouarzazate,Limoneux,5.98,309.8,26.1,Oui,21264.92,7.95,15262.08,Mars - Avril,3.4,Forte,84933.48,Tomate
Meknès,Sableux,6.35,329.9,25.6,Non,21858.27,13.41,21484.94,Mars - Avril,6.0,Faible,201679.13,Tomate
Fès,Argileux,5.72,306.8,24.7,Non,14374.57,8.65,18801.73,Mai - Juin,5.5,Moyenne,113844.48,Tomate
Ouarzazate,Limoneux,6.18,387.7,23.0,Non,20951.66,3.73,19415.14,Mars - Avril,5.9,Faible,50692.93,Tomate
Rabat,Argileux,5.98,365.4,21.3,Oui,16038.07,6.75,19657.82,Mai - Juin,5.8,Forte,92883.2,Tomate
Ouarzazate,Argileux,5.68,440.4,21.2,Oui,19507.42,10.29,15241.96,Mars - Avril,4.4,Faible,109787.84,Tomate
Fès,Sableux,5.79,405.9,26.3,Non,21793.57,9.63,16345.69,Septembre - Octobre,5.0,Moyenne,110186.3,Tomate
Ouarzazate,Sableux,5.89,303.6,26.4,Non,14403.44,9.43,19244.78,Septembre - Octobre,5.5,Forte,127034.79,Tomate
Fès,Limoneux,5.88,465.2,23.6,Non,13750.31,9.99,15148.99,Toute l’année,3.8,Moyenne,105936.89,Tomate
Ouarzazate,Sableux,6.15,332.4,26.3,Non,22132.58,11.09,20358.95,Septembre - Octobre,3.2,Moyenne,158046.53,Tomate
Fès,Limoneux,5.89,406.4,20.1,Oui,17763.68,7.77,13013.88,Mars - Avril,3.3,Forte,70782.49,Tomate
Meknès,Argileux,5.86,479.7,19.4,Oui,17196.38,11.7,16169.31,Mars - Avril,3.2,Faible,132426.65,Tomate
Rabat,Argileux,5.51,442.4,19.9,Oui,20662.21,4.79,20381.01,Mars - Avril,3.7,Moyenne,68337.53,Tomate
Rabat,Limoneux,6.2,410.8,23.8,Non,19371.53,7.94,17731.67,Toute l’année,4.3,Faible,98552.62,Tomate
Ouarzazate,Argileux,5.52,449.5,20.8,Non,17990.3,6.62,17176.22,Mars - Avril,5.0,Faible,79594.6,Tomate
Agadir,Sableux,5.94,421.4,26.6,Oui,15017.23,7.42,16875.1,Septembre - Octobre,3.7,Moyenne,87649.27,Tomate
Meknès,Argileux,5.56,325.9,18.3,Oui,19364.69,6.38,18087.11,Mai - Juin,3.0,Faible,80777.03,Tomate
Agadir,Limoneux,6.01,454.2,27.2,Oui,7575.52,4.77,20456.29,Septembre - Octobre,4.5,Forte,68303.55,Tomate
Rabat,Limoneux,5.87,307.0,20.5,Non,17856.07,5.16,19034.14,Toute l’année,3.8,Forte,68751.31,Tomate
Agadir,Limoneux,5.75,477.4,21.5,Non,16955.47,4.43,19374.59,Mai - Juin,5.9,Forte,60080.6,Tomate
Rabat,Argileux,5.77,445.5,25.7,Oui,17940.38,11.31,15083.72,Toute l’année,5.0,Faible,119417.81,Tomate
Agadir,Argileux,5.91,349.2,22.9,Oui,17081.98,7.46,16339.33,Septembre - Octobre,3.8,Faible,85323.98,Tomate
Rabat,Sableux,5.8,356.5,19.9,Non,14752.35,5.42,18584.9,Mai - Juin,3.7,Moyenne,70511.11,Tomate
Ouarzazate,Sableux,6.4,409.9,23.0,Oui,19915.27,9.85,19100.31,Mai - Juin,3.8,Forte,131696.64,Tomate
Agadir,Sableux,6.03,488.1,18.2,Non,11681.1,9.17,21877.67,Mai - Juin,5.8,Moyenne,140432.76,Tomate
Ouarzazate,Limoneux,5.94,410.6,23.4,Non,17041.72,7.88,19671.79,Septembre - Octobre,5.9,Moyenne,108509.59,Tomate
Agadir,Sableux,5.6,384.1,25.8,Non,13803.41,9.55,14508.43,Mai - Juin,5.4,Forte,96988.85,Tomate
Ouarzazate,Argileux,5.82,353.8,19.2,Non,21374.28,5.57,19743.08,Septembre - Octobre,3.6,Faible,76978.27,Tomate
Agadir,Argileux,6.44,426.7,22.9,Oui,22692.41,10.89,16964.56,Mai - Juin,3.6,Faible,129320.84,Tomate
Meknès,Argileux,5.54,381.5,25.7,Non,18883.79,9.64,17340.09,Mars - Avril,5.2,Faible,117010.93,Tomate
Meknès,Argileux,6.07,406.4,27.1,Non,15765.17,6.52,19901.25,Septembre - Octobre,4.1,Forte,90829.3,Tomate
Ouarzazate,Limoneux,6.2,452.6,18.5,Oui,22012.7,7.94,15308.46,Mai - Juin,5.6,Moyenne,85084.42,Tomate
Rabat,Limoneux,5.86,403.3,27.6,Non,19542.79,6.98,21144.59,Septembre - Octobre,5.0,Moyenne,103312.47,Tomate
Fès,Sableux,6.36,352.5,25.3,Oui,15392.08,9.61,16183.29,Septembre - Octobre,5.4,Moyenne,108864.99,Tomate
Agadir,Sableux,6.12,483.6,26.4,Oui,20955.88,8.03,20110.22,Toute l’année,5.0,Moyenne,113039.55,Tomate
Agadir,Limoneux,6.37,463.3,24.2,Non,17855.34,10.19,23354.08,Toute l’année,4.7,Forte,166584.65,Tomate
Fès,Argileux,5.52,328.5,18.5,Non,17482.86,5.57,18750.72,Septembre - Octobre,6.0,Faible,73109.06,Tomate
Fès,Sableux,5.7,378.5,23.9,Non,22727.73,9.37,12712.87,Mars - Avril,5.3,Forte,83383.71,Tomate
Agadir,Sableux,5.9,486.6,26.8,Non,21489.26,5.82,18351.77,Septembre - Octobre,5.6,Forte,74765.11,Tomate
Fès,Argileux,6.16,439.5,22.7,Non,17998.09,10.34,18285.69,Mai - Juin,4.1,Faible,132351.82,Tomate
Meknès,Argileux,5.62,300.3,21.5,Non,18728.45,2.92,18721.43,Mars - Avril,4.2,Moyenne,38266.6,Tomate
Ouarzazate,Limoneux,5.83,380.4,28.0,Oui,18240.0,7.03,19674.61,Mars - Avril,4.8,Faible,96818.76,Tomate
Fès,Sableux,5.53,382.5,25.9,Non,19535.04,7.82,22675.83,Mars - Avril,3.4,Moyenne,124127.49,Tomate
Rabat,Sableux,5.76,319.6,18.9,Oui,15310.12,6.75,17323.06,Mars - Avril,3.7,Moyenne,81851.46,Tomate
Agadir,Limoneux,6.46,393.1,25.7,Non,17064.04,8.72,23826.31,Septembre - Octobre,3.8,Forte,145435.8,Tomate
Rabat,Argileux,5.82,419.1,27.3,Non,16884.03,8.67,17732.8,Mars - Avril,5.6,Faible,107620.36,Tomate
Fès,Limoneux,5.99,336.8,19.0,Non,18562.34,8.87,19433.94,Septembre - Octobre,3.0,Moyenne,120665.33,Tomate
Meknès,Sableux,6.11,412.1,21.0,Non,14148.82,9.98,14511.02,Mars - Avril,3.3,Faible,101373.99,Tomate
Rabat,Sableux,5.6,317.3,21.2,Oui,20032.13,5.96,21236.58,Toute l’année,3.6,Moyenne,88599.01,Tomate
Ouarzazate,Argileux,6.07,417.1,26.2,Non,18175.69,8.41,20611.17,Septembre - Octobre,4.2,Forte,121337.96,Tomate
Meknès,Sableux,5.88,395.0,22.8,Oui,23265.94,8.64,20029.43,Toute l’année,4.6,Forte,121137.99,Tomate
Ouarzazate,Argileux,5.62,332.4,26.6,Oui,14488.02,4.61,15035.47,Toute l’année,5.0,Forte,48519.46,Tomate
Meknès,Limoneux,5.88,312.9,18.6,Oui,14854.35,9.59,20048.42,Mai - Juin,3.2,Moyenne,134585.04,Tomate
Meknès,Limoneux,6.21,465.1,21.3,Oui,16946.29,8.86,21718.13,Mars - Avril,3.2,Moyenne,134695.84,Tomate
Rabat,Argileux,5.61,416.2,22.0,Non,14711.34,6.95,15284.4,Toute l’année,4.6,Faible,74358.61,Tomate
Fès,Sableux,5.82,424.3,19.3,Oui,10194.11,8.94,16125.53,Toute l’année,3.8,Faible,100913.57,Tomate
Meknès,Argileux,5.55,347.6,25.1,Non,16474.93,10.02,20419.46,Mars - Avril,5.1,Forte,143222.09,Tomate
Rabat,Sableux,6.02,368.9,27.0,Non,9858.56,10.24,20875.04,Septembre - Octobre,3.7,Moyenne,149632.29,Tomate
Meknès,Limoneux,5.97,415.1,20.4,Non,20028.02,9.66,18409.3,Toute l’année,4.9,Moyenne,124483.69,Tomate
Ouarzazate,Sableux,6.18,330.1,24.0,Non,15466.72,11.99,18893.22,Mai - Juin,4.6,Moyenne,158570.8,Tomate
Fès,Argileux,6.09,388.5,24.6,Oui,17536.62,10.31,14564.81,Toute l’année,4.0,Moyenne,105114.23,Tomate
Ouarzazate,Sableux,6.16,421.2,21.3,Non,16527.1,8.18,24190.88,Mai - Juin,4.0,Moyenne,138516.98,Tomate
Fès,Argileux,5.91,396.6,19.4,Non,25209.89,7.8,14515.0,Mars - Avril,4.8,Faible,79251.9,Tomate
Ouarzazate,Argileux,5.87,424.1,23.7,Oui,7210.63,7.12,21498.26,Septembre - Octobre,4.7,Forte,107147.33,Tomate
Agadir,Argileux,5.82,392.7,22.1,Non,18752.42,10.26,15305.41,Toute l’année,4.1,Faible,109923.45,Tomate
Rabat,Limoneux,5.88,302.4,23.5,Non,15407.45,8.72,19245.13,Toute l’année,5.4,Faible,117472.27,Tomate
Ouarzazate,Limoneux,6.42,322.0,26.8,Oui,22439.88,3.47,9675.4,Mai - Juin,4.3,Moyenne,23501.55,Tomate
Ouarzazate,Sableux,6.24,447.5,27.3,Non,18821.51,8.75,16622.09,Mai - Juin,3.4,Forte,101810.3,Tomate
Ouarzazate,Argileux,5.63,353.2,25.0,Oui,19038.16,10.32,15334.75,Toute l’année,5.0,Moyenne,110778.23,Tomate
Fès,Sableux,5.74,393.9,25.6,Oui,19418.53,10.6,24380.98,Toute l’année,5.6,Moyenne,180906.87,Tomate
Meknès,Limoneux,5.95,488.7,27.4,Non,13094.1,8.5,20768.96,Toute l’année,5.8,Moyenne,123575.31,Tomate
Fès,Limoneux,6.17,441.5,21.2,Non,10588.05,11.25,18587.82,Mars - Avril,4.2,Forte,146379.08,Tomate
Fès,Argileux,6.4,404.6,26.0,Non,9016.36,6.74,21610.63,Mai - Juin,3.6,Faible,101958.95,Tomate
Rabat,Limoneux,6.26,493.8,27.6,Oui,17162.28,9.08,16385.21,Mai - Juin,3.4,Moyenne,104144.39,Tomate
Ouarzazate,Limoneux,6.36,334.4,24.4,Oui,18641.38,8.9,16815.67,Mars - Avril,4.4,Forte,104761.62,Tomate
Agadir,Argileux,5.95,488.8,21.7,Oui,20807.59,9.28,16187.81,Septembre - Octobre,5.7,Faible,105156.01,Tomate
Agadir,Limoneux,5.61,325.1,25.5,Oui,21883.79,9.14,20547.01,Toute l’année,4.8,Faible,131459.77,Tomate
Agadir,Sableux,5.58,351.1,24.9,Non,11012.23,10.12,19958.83,Septembre - Octobre,3.3,Forte,141388.35,Tomate
Rabat,Sableux,5.9,325.1,18.7,Non,8752.38,8.78,16080.16,Mars - Avril,3.2,Forte,98828.66,Tomate
Agadir,Limoneux,5.52,369.2,18.4,Oui,21208.41,9.12,19197.58,Mai - Juin,3.8,Forte,122557.35,Tomate
Rabat,Argileux,6.22,357.0,21.0,Oui,13900.42,8.16,19435.73,Septembre - Octobre,5.7,Faible,111016.89,Tomate
Ouarzazate,Sableux,6.39,318.4,18.5,Oui,15419.28,8.33,20321.34,Mars - Avril,4.7,Faible,118493.73,Tomate
Fès,Limoneux,5.63,444.9,23.8,Oui,18313.41,7.89,17608.78,Toute l’année,3.1,Forte,97253.29,Tomate
Rabat,Argileux,6.03,486.3,19.2,Non,12496.39,8.8,15698.23,Septembre - Octobre,4.9,Faible,96701.1,Tomate
Rabat,Limoneux,5.64,633.4,19.4,Oui,13278.41,11.22,17227.32,Mars - Avril,3.0,Faible,135303.37,Pomme de terre
Agadir,Limoneux,5.45,710.3,16.0,Non,15262.06,4.81,15724.74,Septembre - Octobre,3.2,Faible,52945.2,Pomme de terre
Ouarzazate,Argileux,5.17,741.8,18.8,Oui,20249.99,10.72,19394.88,Mars - Avril,5.4,Faible,145539.18,Pomme de terre
Fès,Argileux,5.95,754.2,19.9,Non,18616.39,6.95,22970.24,Mars - Avril,5.8,Faible,111750.22,Pomme de terre
Rabat,Argileux,5.31,739.6,15.4,Oui,16928.18,6.61,16274.92,Septembre - Octobre,3.8,Forte,75304.05,Pomme de terre
Ouarzazate,Argileux,5.71,747.3,15.5,Oui,18519.72,8.66,21335.23,Toute l’année,3.5,Faible,129334.16,Pomme de terre
Agadir,Argileux,5.72,738.7,16.1,Oui,22971.25,3.05,15580.6,Toute l’année,5.5,Forte,33264.58,Pomme de terre
Agadir,Limoneux,5.19,798.1,17.5,Oui,15854.6,6.39,23110.81,Mars - Avril,5.1,Forte,103374.65,Pomme de terre
Ouarzazate,Sableux,5.72,629.4,18.3,Oui,21145.48,7.21,19713.99,Toute l’année,4.1,Forte,99496.51,Pomme de terre
Rabat,Sableux,5.95,680.8,18.7,Non,17981.68,8.67,12589.93,Mars - Avril,4.9,Moyenne,76408.29,Pomme de terre
Agadir,Argileux,5.36,800.0,17.1,Oui,22342.89,8.45,21992.65,Septembre - Octobre,5.2,Moyenne,130086.52,Pomme de terre
Ouarzazate,Sableux,5.59,601.3,16.3,Non,10977.6,5.95,18383.18,Mars - Avril,4.1,Moyenne,76565.94,Pomme de terre
Meknès,Limoneux,5.4,748.7,15.6,Non,13037.36,7.41,22365.15,Septembre - Octobre,5.1,Moyenne,116008.03,Pomme de terre
Fès,Limoneux,5.11,748.8,15.8,Non,17020.09,6.28,21193.06,Toute l’année,3.5,Forte,93164.69,Pomme de terre
Fès,Sableux,5.82,751.9,19.1,Oui,18944.36,9.2,15214.59,Toute l’année,4.0,Faible,97981.96,Pomme de terre
Rabat,Argileux,5.78,656.8,15.6,Oui,17083.19,10.04,19470.81,Mai - Juin,5.7,Forte,136840.85,Pomme de terre
Fès,Argileux,5.94,715.9,17.3,Non,14859.38,10.39,17435.94,Mars - Avril,4.6,Moyenne,126811.59,Pomme de terre
Ouarzazate,Limoneux,5.82,677.4,17.0,Oui,12909.37,5.6,19371.75,Mars - Avril,5.4,Moyenne,75937.26,Pomme de terre
Agadir,Sableux,5.32,665.0,19.6,Non,17266.04,8.59,25352.47,Mars - Avril,4.3,Forte,152444.4,Pomme de terre
Fès,Limoneux,5.25,745.5,15.0,Non,9899.22,8.17,17407.19,Toute l’année,4.9,Moyenne,99551.72,Pomme de terre
Meknès,Limoneux,5.9,777.0,17.3,Oui,18385.61,8.91,15128.94,Toute l’année,4.9,Faible,94359.2,Pomme de terre
Ouarzazate,Limoneux,5.32,628.1,18.1,Oui,21267.84,8.69,15238.57,Toute l’année,3.1,Moyenne,92696.22,Pomme de terre
Ouarzazate,Argileux,5.21,774.8,16.9,Oui,17609.95,9.02,20445.21,Septembre - Octobre,5.4,Forte,129091.06,Pomme de terre
Ouarzazate,Limoneux,5.99,794.2,15.2,Oui,19300.88,4.04,17074.91,Mai - Juin,4.6,Forte,48287.85,Pomme de terre
Meknès,Argileux,5.6,621.1,16.7,Oui,25585.41,10.72,16734.86,Mai - Juin,4.0,Faible,125578.39,Pomme de terre
Fès,Sableux,5.61,792.5,19.1,Oui,19726.69,6.5,14112.41,Toute l’année,3.3,Faible,64211.47,Pomme de terre
Agadir,Argileux,5.85,719.0,15.7,Non,19899.62,4.86,25676.22,Septembre - Octobre,4.1,Forte,87350.5,Pomme de terre
Agadir,Limoneux,5.44,696.8,18.9,Oui,12058.12,7.45,14836.1,Mars - Avril,4.9,Faible,77370.26,Pomme de terre
Meknès,Limoneux,5.32,754.5,16.7,Non,17444.98,7.3,20669.51,Mars - Avril,3.6,Forte,105621.2,Pomme de terre
Rabat,Sableux,5.46,791.0,16.1,Oui,18798.79,7.41,13790.37,Septembre - Octobre,4.0,Faible,71530.65,Pomme de terre
Agadir,Argileux,5.83,713.6,15.9,Oui,15296.68,6.82,20875.42,Mai - Juin,4.1,Forte,99659.26,Pomme de terre
Fès,Sableux,5.03,777.1,18.5,Oui,14706.95,6.13,19894.11,Mai - Juin,4.3,Moyenne,85365.63,Pomme de terre
Meknès,Argileux,5.82,761.8,17.1,Non,19721.96,10.99,20653.59,Mai - Juin,4.6,Moyenne,158888.07,Pomme de terre
Meknès,Sableux,5.49,796.7,18.0,Non,17780.67,12.15,15365.95,Mars - Avril,4.1,Forte,130687.4,Pomme de terre
Rabat,Argileux,5.27,716.2,18.2,Oui,14398.21,5.9,21950.41,Mars - Avril,4.8,Faible,90655.19,Pomme de terre
Meknès,Limoneux,5.61,604.1,17.1,Oui,8583.63,5.59,23420.3,Septembre - Octobre,5.4,Moyenne,91643.63,Pomme de terre
Fès,Argileux,5.45,779.2,18.8,Non,17195.57,-0.17,16444.07,Mars - Avril,3.9,Forte,-1956.84,Pomme de terre
Agadir,Limoneux,5.46,620.1,17.5,Oui,17719.93,8.92,23182.04,Toute l’année,5.8,Moyenne,144748.66,Pomme de terre
Meknès,Limoneux,5.25,678.7,16.4,Non,22165.19,7.26,16821.57,Mai - Juin,3.8,Forte,85487.22,Pomme de terre
Meknès,Argileux,5.49,719.7,15.5,Non,14922.96,11.15,13340.69,Toute l’année,3.6,Faible,104124.09,Pomme de terre
Fès,Limoneux,5.61,621.9,16.8,Oui,19010.59,5.93,22048.09,Septembre - Octobre,3.6,Forte,91521.62,Pomme de terre
Agadir,Sableux,5.9,775.1,15.9,Oui,19801.33,11.11,19980.36,Mars - Avril,5.5,Forte,155387.26,Pomme de terre
Rabat,Limoneux,5.4,777.5,18.1,Non,22340.67,10.25,15053.99,Septembre - Octobre,4.3,Forte,108012.38,Pomme de terre
Fès,Limoneux,5.13,791.0,17.1,Oui,24844.93,6.11,21508.68,Mars - Avril,3.6,Moyenne,91992.62,Pomme de terre
Agadir,Argileux,5.07,784.8,17.8,Non,11564.7,8.87,21884.15,Toute l’année,5.4,Forte,135878.69,Pomme de terre
Fès,Sableux,5.25,621.6,18.2,Oui,15088.16,5.95,20685.2,Toute l’année,3.4,Faible,86153.86,Pomme de terre
Rabat,Argileux,5.87,621.8,18.5,Oui,21133.35,10.8,20687.85,Mars - Avril,4.7,Faible,156400.15,Pomme de terre
Fès,Sableux,5.31,666.9,18.4,Oui,20900.83,6.34,21283.31,Toute l’année,5.1,Forte,94455.33,Pomme de terre
Rabat,Limoneux,5.0,684.2,19.6,Oui,12502.34,7.66,17232.53,Septembre - Octobre,3.2,Moyenne,92400.83,Pomme de terre
Agadir,Sableux,5.48,704.6,19.8,Oui,15690.8,6.88,11980.73,Mars - Avril,5.4,Moyenne,57699.2,Pomme de terre
Ouarzazate,Sableux,5.55,724.0,16.3,Non,15869.73,8.12,20159.44,Septembre - Octobre,3.6,Faible,114586.26,Pomme de terre
Rabat,Limoneux,5.83,797.7,16.4,Oui,11842.24,8.5,17251.59,Mai - Juin,3.7,Moyenne,102646.96,Pomme de terre
Fès,Limoneux,5.73,630.4,15.9,Non,20851.46,9.29,21607.46,Toute l’année,4.8,Forte,140513.31,Pomme de terre
Fès,Sableux,5.82,706.5,19.7,Oui,14728.9,6.65,17026.7,Septembre - Octobre,4.1,Faible,79259.29,Pomme de terre
Agadir,Sableux,5.18,742.2,15.6,Non,22253.83,10.1,19013.73,Toute l’année,3.6,Faible,134427.07,Pomme de terre
Agadir,Limoneux,5.18,756.1,19.4,Non,19345.06,8.43,19041.16,Septembre - Octobre,4.3,Moyenne,112361.89,Pomme de terre
Meknès,Limoneux,5.03,761.4,17.3,Non,20776.45,8.36,15011.46,Septembre - Octobre,5.4,Forte,87847.06,Pomme de terre
Fès,Sableux,5.36,723.2,15.6,Oui,21432.46,8.06,16115.25,Mars - Avril,6.0,Forte,90922.24,Pomme de terre
Agadir,Sableux,5.74,754.2,15.7,Non,21241.94,6.07,14672.97,Mars - Avril,4.7,Faible,62345.45,Pomme de terre
Agadir,Argileux,5.3,720.7,17.8,Non,16195.18,6.74,17847.46,Septembre - Octobre,3.6,Faible,84204.32,Pomme de terre
Agadir,Sableux,5.19,629.8,19.2,Oui,14111.59,8.52,15385.16,Septembre - Octobre,3.6,Forte,91757.09,Pomme de terre
Agadir,Limoneux,5.72,791.1,19.3,Oui,19504.34,11.09,21119.3,Mai - Juin,5.5,Moyenne,163949.13,Pomme de terre
Agadir,Argileux,5.09,704.3,16.3,Non,23168.64,5.24,14114.33,Toute l’année,3.8,Forte,51771.36,Pomme de terre
Ouarzazate,Sableux,5.69,664.0,18.2,Non,14694.37,6.93,19710.65,Toute l’année,3.2,Forte,95616.36,Pomme de terre
Rabat,Limoneux,5.92,771.9,19.9,Oui,20764.54,6.29,16937.55,Mars - Avril,3.5,Faible,74576.03,Pomme de terre
Fès,Limoneux,5.34,780.5,16.1,Non,17587.52,10.02,20373.86,Mai - Juin,4.6,Moyenne,142902.25,Pomme de terre
Agadir,Limoneux,5.73,760.0,18.5,Oui,18506.89,9.16,20621.78,Septembre - Octobre,6.0,Forte,132226.85,Pomme de terre
Agadir,Sableux,5.59,651.3,18.3,Non,13076.89,11.4,17218.23,Septembre - Octobre,5.9,Faible,137401.48,Pomme de terre
Agadir,Sableux,5.95,727.0,17.4,Oui,22877.81,3.45,20484.4,Septembre - Octobre,3.4,Moyenne,49469.83,Pomme de terre
Rabat,Argileux,5.03,636.6,17.4,Oui,14630.0,6.05,10074.05,Toute l’année,4.6,Moyenne,42663.6,Pomme de terre
Fès,Argileux,5.28,775.5,15.7,Non,17974.79,11.12,18663.41,Toute l’année,4.6,Faible,145275.98,Pomme de terre
Meknès,Argileux,5.64,712.9,18.6,Oui,12729.74,6.58,16649.97,Septembre - Octobre,3.7,Forte,76689.76,Pomme de terre
Meknès,Argileux,5.59,641.4,19.6,Non,22684.6,5.99,19209.09,Toute l’année,5.1,Forte,80543.71,Pomme de terre
Meknès,Argileux,5.27,694.1,17.1,Non,21105.75,8.28,15041.57,Toute l’année,3.8,Moyenne,87180.94,Pomme de terre
Meknès,Limoneux,5.56,682.9,19.8,Oui,15429.27,6.89,17552.96,Mai - Juin,5.8,Faible,84657.93,Pomme de terre
Fès,Limoneux,5.11,648.0,15.3,Oui,15201.44,6.75,20203.11,Toute l’année,4.8,Faible,95459.69,Pomme de terre
Meknès,Limoneux,5.3,603.8,18.0,Oui,15508.87,9.15,20414.87,Mai - Juin,4.7,Forte,130757.24,Pomme de terre
Agadir,Sableux,5.68,737.6,16.1,Non,17018.26,7.16,20749.29,Septembre - Octobre,5.7,Forte,103995.44,Pomme de terre
Fès,Argileux,5.07,661.6,19.5,Oui,17495.88,7.68,18548.52,Mai - Juin,5.7,Forte,99716.84,Pomme de terre
Rabat,Argileux,5.29,680.1,16.4,Non,14018.09,2.95,15233.37,Mars - Avril,4.9,Moyenne,31456.91,Pomme de terre
Meknès,Limoneux,5.58,623.9,18.4,Oui,13650.87,6.3,17621.13,Mai - Juin,3.1,Faible,77709.18,Pomme de terre
Meknès,Limoneux,5.15,611.4,15.0,Oui,18426.79,9.08,16777.85,Septembre - Octobre,5.2,Moyenne,106640.01,Pomme de terre
Ouarzazate,Argileux,5.14,638.0,16.7,Oui,19834.41,8.28,14955.54,Mai - Juin,5.8,Forte,86682.31,Pomme de terre
Ouarzazate,Sableux,5.86,729.1,16.4,Oui,20075.56,7.74,16062.36,Septembre - Octobre,3.1,Moyenne,87025.87,Pomme de terre
Ouarzazate,Sableux,5.36,697.6,19.6,Non,18949.12,11.97,17858.78,Mai - Juin,4.3,Faible,149638.72,Pomme de terre
Fès,Sableux,5.18,779.7,16.2,Non,10588.91,0.42,15124.05,Septembre - Octobre,5.1,Forte,4446.47,Pomme de terre
Rabat,Argileux,5.99,794.1,16.1,Oui,20461.2,8.01,23386.28,Toute l’année,5.1,Faible,131126.87,Pomme de terre
Rabat,Sableux,5.85,766.9,16.4,Oui,20537.77,5.45,18874.38,Mars - Avril,5.7,Moyenne,72005.76,Pomme de terre
Ouarzazate,Limoneux,5.25,749.2,19.9,Oui,25650.92,5.83,20535.64,Mai - Juin,3.6,Forte,83805.95,Pomme de terre
Meknès,Sableux,5.12,671.8,18.8,Non,15074.26,8.02,18733.75,Septembre - Octobre,3.5,Moyenne,105171.27,Pomme de terre
Meknès,Limoneux,5.2,777.0,19.5,Non,14362.93,7.73,17507.31,Septembre - Octobre,5.7,Faible,94732.05,Pomme de terre
Rabat,Sableux,5.19,737.5,19.0,Oui,12656.92,6.28,19801.1,Toute l’année,3.4,Forte,87045.64,Pomme de terre
Rabat,Argileux,5.94,665.1,18.5,Oui,15536.75,8.74,20600.96,Mai - Juin,4.5,Faible,126036.67,Pomme de terre
Rabat,Sableux,5.46,707.4,15.9,Oui,8772.7,5.69,21707.12,Mai - Juin,5.4,Faible,86459.46,Pomme de terre
Ouarzazate,Argileux,5.2,675.6,17.7,Oui,13290.58,7.16,18628.83,Toute l’année,3.9,Moyenne,93367.7,Pomme de terre
Fès,Limoneux,5.52,606.3,19.8,Non,16041.75,3.02,16407.35,Toute l’année,6.0,Moyenne,34685.14,Pomme de terre
Meknès,Sableux,5.38,783.8,15.0,Non,19258.5,7.77,19219.69,Mars - Avril,4.1,Faible,104535.89,Pomme de terre
Fès,Limoneux,5.65,728.5,19.5,Non,13808.73,6.49,12602.28,Septembre - Octobre,3.7,Forte,57252.16,Pomme de terre
Meknès,Argileux,5.85,764.6,19.8,Non,17977.18,7.82,10867.7,Septembre - Octobre,4.1,Moyenne,59489.79,Pomme de terre
Agadir,Sableux,5.36,625.5,18.8,Non,19244.08,9.2,16657.86,Septembre - Octobre,3.6,Forte,107276.62,Pomme de terre
Ouarzazate,Limoneux,5.44,760.9,18.9,Non,29548.61,5.25,14922.55,Mars - Avril,3.2,Forte,54840.37,Pomme de terre
Fès,Limoneux,5.71,784.5,16.3,Non,10598.24,9.33,21024.58,Toute l’année,3.1,Faible,137311.53,Pomme de terre
Meknès,Limoneux,5.09,716.6,17.3,Oui,20791.88,5.52,14545.86,Mars - Avril,4.0,Faible,56205.2,Pomme de terre
Agadir,Argileux,5.27,789.0,17.1,Oui,23307.45,7.93,23098.3,Toute l’année,3.8,Moyenne,128218.66,Pomme de terre
Rabat,Sableux,5.9,776.1,16.2,Non,21955.82,6.44,20477.23,Mai - Juin,5.5,Moyenne,92311.35,Pomme de terre
Rabat,Sableux,5.25,784.0,17.1,Oui,22540.22,7.21,14999.39,Mai - Juin,4.6,Faible,75701.92,Pomme de terre
Agadir,Sableux,5.09,698.8,15.4,Oui,16004.87,10.75,24471.71,Toute l’année,5.7,Moyenne,184149.62,Pomme de terre
Fès,Sableux,5.85,661.6,17.7,Non,21341.03,7.92,16823.01,Toute l’année,3.9,Moyenne,93266.77,Pomme de terre
Meknès,Limoneux,5.68,765.6,19.2,Oui,10162.58,8.18,25050.84,Mars - Avril,3.9,Forte,143441.11,Pomme de terre
Ouarzazate,Limoneux,5.04,780.9,15.2,Oui,19794.28,7.78,22794.5,Mai - Juin,5.2,Moyenne,124138.85,Pomme de terre
Agadir,Limoneux,5.16,602.1,19.5,Non,11736.66,9.25,19481.16,Mai - Juin,5.4,Moyenne,126140.51,Pomme de terre
Rabat,Argileux,5.71,751.1,15.3,Non,20784.32,6.28,16302.03,Mars - Avril,3.9,Faible,71663.72,Pomme de terre
Agadir,Argileux,5.24,630.5,16.8,Non,17424.41,4.78,17162.51,Septembre - Octobre,3.5,Faible,57425.76,Pomme de terre
Fès,Limoneux,5.23,681.5,17.6,Non,21908.65,10.21,15277.71,Mars - Avril,4.6,Faible,109189.79,Pomme de terre
Meknès,Limoneux,5.79,746.7,16.8,Non,14450.77,9.05,13988.22,Mars - Avril,3.6,Faible,88615.37,Pomme de terre
